Zone,District,Urban_Rural,Total_Population,Male,Female,Literacy_Rate_Total,Literacy_Rate_Male,Literacy_Rate_Female,Literacy_Rate_Youth,Households_Total,Households_with_Electricity,Households_with_Radio,Households_with_TV,Households_with_Telephone,Electricity_Access_Rate,Radio_Access_Rate,TV_Access_Rate,Telephone_Access_Rate,Internet_Access_Rate
Janakpur,Dhanusha,Urban,120000,60000,60000,66,72,60,82,22000,18000,9000,12000,8500,81.81818181818181,40.90909090909091,54.54545454545454,38.63636363636363,25
Janakpur,Dhanusha,Rural,260000,130000,130000,59,65,53,77,48000,26000,23000,10000,7000,54.166666666666664,47.916666666666664,20.833333333333332,14.583333333333334,7
Janakpur,Mahottari,Urban,90000,45000,45000,64,70,58,80,18000,15000,7000,9500,6000,83.33333333333334,38.888888888888886,52.77777777777778,33.33333333333333,22
Janakpur,Mahottari,Rural,210000,105000,105000,57,63,51,74,42000,22000,20000,8000,5000,52.38095238095239,47.61904761904761,19.047619047619047,11.904761904761903,6
Janakpur,Sarlahi,Urban,100000,50000,50000,65,71,59,81,20000,16000,8000,11000,7000,80.0,40.0,55.0,35.0,20
Janakpur,Sarlahi,Rural,240000,120000,120000,58,64,52,76,48000,25000,24000,9500,6500,52.083333333333336,50.0,19.791666666666668,13.541666666666666,5
Narayani,Bara,Urban,110000,55000,55000,67,73,61,83,21000,17500,8500,12000,9000,83.33333333333334,40.476190476190474,57.142857142857146,42.857142857142854,28
Narayani,Bara,Rural,220000,110000,110000,60,66,54,78,44000,24000,21000,9000,7000,54.54545454545454,47.72727272727273,20.454545454545453,15.909090909090908,8
Narayani,Parsa,Urban,130000,65000,65000,68,74,62,85,26000,22000,9500,14000,10500,84.61538461538461,36.53846153846154,53.84615384615385,40.38461538461539,30
Narayani,Parsa,Rural,210000,105000,105000,61,67,55,79,42000,23000,20000,8500,6000,54.76190476190476,47.61904761904761,20.238095238095237,14.285714285714285,7
Narayani,Rautahat,Urban,95000,47500,47500,64,70,58,81,19000,15000,7000,9500,6000,78.94736842105263,36.8421052631579,50.0,31.57894736842105,18
Narayani,Rautahat,Rural,190000,95000,95000,57,63,51,75,38000,20000,18000,7500,5000,52.63157894736842,47.368421052631575,19.736842105263158,13.157894736842104,6
Sagarmatha,Siraha,Urban,80000,40000,40000,63,69,57,80,16000,12500,6000,8500,5000,78.125,37.5,53.125,31.25,15
Sagarmatha,Siraha,Rural,200000,100000,100000,55,61,49,73,40000,19000,18000,7000,4000,47.5,45.0,17.5,10.0,4
Sagarmatha,Saptari,Urban,95000,47500,47500,64,70,58,81,19000,15000,7000,9500,6500,78.94736842105263,36.8421052631579,50.0,34.21052631578947,20
Sagarmatha,Saptari,Rural,230000,115000,115000,56,62,50,74,46000,21000,21000,8000,5000,45.65217391304348,45.65217391304348,17.391304347826086,10.869565217391305,5
